D:\python\Python39\python3.exe C:\Users\86136\Desktop\article\transformer-python\classification\微调.py 
Epoch 69 / 100, Testing: Sensitivity: 0.885961949791737, Specificity: 0.9893017697604279, Train Acc: 0.9685, Test Acc: 0.9586, AUROC: 0.9229, AUPC: -0.9096, F1 Score: 0.8944, Recall: 0.8628
Epoch 70 / 100, Testing: Sensitivity: 0.8853990768884386, Specificity: 0.989700108120412, Train Acc: 0.9687, Test Acc: 0.9590, AUROC: 0.9231, AUPC: -0.9108, F1 Score: 0.8955, Recall: 0.8625
Epoch 71 / 100, Testing: Sensitivity: 0.8876505685016324, Specificity: 0.988874978660445, Train Acc: 0.9685, Test Acc: 0.9583, AUROC: 0.9226, AUPC: -0.9091, F1 Score: 0.8939, Recall: 0.8622
Epoch 72 / 100, Testing: Sensitivity: 0.8866373972756951, Specificity: 0.9892733170204291, Train Acc: 0.9686, Test Acc: 0.9591, AUROC: 0.9236, AUPC: -0.9108, F1 Score: 0.8958, Recall: 0.8638
Epoch 73 / 100, Testing: Sensitivity: 0.8861870989530564, Specificity: 0.989700108120412, Train Acc: 0.9688, Test Acc: 0.9588, AUROC: 0.9230, AUPC: -0.9103, F1 Score: 0.8950, Recall: 0.8625
Epoch 74 / 100, Testing: Sensitivity: 0.8888888888888888, Specificity: 0.9890456951004382, Train Acc: 0.9688, Test Acc: 0.9586, AUROC: 0.9230, AUPC: -0.9096, F1 Score: 0.8945, Recall: 0.8630
Epoch 75 / 100, Testing: Sensitivity: 0.8864122481143758, Specificity: 0.9898423718204064, Train Acc: 0.9690, Test Acc: 0.9593, AUROC: 0.9238, AUPC: -0.9114, F1 Score: 0.8962, Recall: 0.8638
Epoch 76 / 100, Testing: Sensitivity: 0.8867499718563548, Specificity: 0.989700108120412, Train Acc: 0.9689, Test Acc: 0.9592, AUROC: 0.9239, AUPC: -0.9112, F1 Score: 0.8962, Recall: 0.8643
Epoch 77 / 100, Testing: Sensitivity: 0.8888888888888888, Specificity: 0.9891310533204347, Train Acc: 0.9689, Test Acc: 0.9597, AUROC: 0.9249, AUPC: -0.9123, F1 Score: 0.8975, Recall: 0.8661
Epoch 78 / 100, Testing: Sensitivity: 0.8866373972756951, Specificity: 0.9898423718204064, Train Acc: 0.9690, Test Acc: 0.9595, AUROC: 0.9236, AUPC: -0.9118, F1 Score: 0.8965, Recall: 0.8630
Epoch 79 / 100, Testing: Sensitivity: 0.888100866824271, Specificity: 0.9898708245604052, Train Acc: 0.9693, Test Acc: 0.9592, AUROC: 0.9239, AUPC: -0.9111, F1 Score: 0.8961, Recall: 0.8643
Epoch 80 / 100, Testing: Sensitivity: 0.889226612630868, Specificity: 0.989472486200421, Train Acc: 0.9692, Test Acc: 0.9596, AUROC: 0.9246, AUPC: -0.9120, F1 Score: 0.8972, Recall: 0.8656
Epoch 81 / 100, Testing: Sensitivity: 0.8900146346954858, Specificity: 0.989472486200421, Train Acc: 0.9694, Test Acc: 0.9596, AUROC: 0.9248, AUPC: -0.9119, F1 Score: 0.8971, Recall: 0.8661
Epoch 82 / 100, Testing: Sensitivity: 0.8879882922436114, Specificity: 0.9898708245604052, Train Acc: 0.9693, Test Acc: 0.9598, AUROC: 0.9245, AUPC: -0.9125, F1 Score: 0.8975, Recall: 0.8651
Epoch 83 / 100, Testing: Sensitivity: 0.8902397838568051, Specificity: 0.9892733170204291, Train Acc: 0.9693, Test Acc: 0.9597, AUROC: 0.9247, AUPC: -0.9123, F1 Score: 0.8974, Recall: 0.8656
Epoch 84 / 100, Testing: Sensitivity: 0.8926038500506586, Specificity: 0.9891879588004325, Train Acc: 0.9697, Test Acc: 0.9599, AUROC: 0.9260, AUPC: -0.9126, F1 Score: 0.8982, Recall: 0.8688
Epoch 85 / 100, Testing: Sensitivity: 0.8903523584374649, Specificity: 0.9897570136004097, Train Acc: 0.9697, Test Acc: 0.9595, AUROC: 0.9246, AUPC: -0.9116, F1 Score: 0.8968, Recall: 0.8659
Epoch 86 / 100, Testing: Sensitivity: 0.8926038500506586, Specificity: 0.9893017697604279, Train Acc: 0.9698, Test Acc: 0.9600, AUROC: 0.9263, AUPC: -0.9127, F1 Score: 0.8984, Recall: 0.8695
Epoch 87 / 100, Testing: Sensitivity: 0.8887763143082292, Specificity: 0.9901838047003927, Train Acc: 0.9697, Test Acc: 0.9602, AUROC: 0.9251, AUPC: -0.9135, F1 Score: 0.8985, Recall: 0.8659
Epoch 88 / 100, Testing: Sensitivity: 0.8926038500506586, Specificity: 0.989700108120412, Train Acc: 0.9701, Test Acc: 0.9601, AUROC: 0.9259, AUPC: -0.9132, F1 Score: 0.8987, Recall: 0.8682
Epoch 89 / 100, Testing: Sensitivity: 0.8914781042440617, Specificity: 0.9898139190804074, Train Acc: 0.9700, Test Acc: 0.9602, AUROC: 0.9261, AUPC: -0.9133, F1 Score: 0.8988, Recall: 0.8685
Epoch 90 / 100, Testing: Sensitivity: 0.8929415737926376, Specificity: 0.989700108120412, Train Acc: 0.9702, Test Acc: 0.9601, AUROC: 0.9257, AUPC: -0.9132, F1 Score: 0.8986, Recall: 0.8677
Epoch 91 / 100, Testing: Sensitivity: 0.8930541483732973, Specificity: 0.98阿97285608604108, Train Acc: 0.9702, Test Acc: 0.9609, AUROC: 0.9269, AUPC: -0.9149, F1 Score: 0.9005, Recall: 0.8695
Epoch 92 / 100, Testing: Sensitivity: 0.8915906788247214, Specificity: 0.9899277300404029, Train Acc: 0.9701, Test Acc: 0.9606, AUROC: 0.9267, AUPC: -0.9143, F1 Score: 0.8999, Recall: 0.8695
Epoch 93 / 100, Testing: Sensitivity: 0.8935044466959361, Specificity: 0.9898139190804074, Train Acc: 0.9704, Test Acc: 0.9608, AUROC: 0.9271, AUPC: -0.9146, F1 Score: 0.9003, Recall: 0.8703
Epoch 94 / 100, Testing: Sensitivity: 0.894630192502533, Specificity: 0.9895578444204177, Train Acc: 0.9704, Test Acc: 0.9609, AUROC: 0.9275, AUPC: -0.9148, F1 Score: 0.9006, Recall: 0.8711
Epoch 95 / 100, Testing: Sensitivity: 0.8957559383091298, Specificity: 0.9891879588004325, Train Acc: 0.9703, Test Acc: 0.9606, AUROC: 0.9274, AUPC: -0.9141, F1 Score: 0.9001, Recall: 0.8714
Epoch 96 / 100, Testing: Sensitivity: 0.8945176179218732, Specificity: 0.9898139190804074, Train Acc: 0.9706, Test Acc: 0.9606, AUROC: 0.9268, AUPC: -0.9142, F1 Score: 0.8999, Recall: 0.8698
Epoch 97 / 100, Testing: Sensitivity: 0.8958685128897895, Specificity: 0.9892164115404314, Train Acc: 0.9704, Test Acc: 0.9609, AUROC: 0.9279, AUPC: -0.9149, F1 Score: 0.9009, Recall: 0.8721
Epoch 98 / 100, Testing: Sensitivity: 0.8969942586963864, Specificity: 0.9894440334604222, Train Acc: 0.9708, Test Acc: 0.9609, AUROC: 0.9284, AUPC: -0.9146, F1 Score: 0.9009, Recall: 0.8737
Epoch 99 / 100, Testing: Sensitivity: 0.8956433637284701, Specificity: 0.9896432026404143, Train Acc: 0.9707, Test Acc: 0.9611, AUROC: 0.9280, AUPC: -0.9153, F1 Score: 0.9012, Recall: 0.8721
Epoch 100 / 100, Testing: Sensitivity: 0.8963188112124282, Specificity: 0.9896147499004154, Train Acc: 0.9708, Test Acc: 0.9613, AUROC: 0.9285, AUPC: -0.9157, F1 Score: 0.9018, Recall: 0.8732
